Species,phylo,Museum,Number,IM,PES,TAIL,MANUS,State,Loco
Rhynchomys_soricoides,Rhynchomys_soricoides,FMNH,198887,0.691377497,0.328606658,0.4215116,0.593040847,1,Terrestrial
Rhynchomys_soricoides,Rhynchomys_soricoides,FMNH,193980,0.706746147,0.380982368,0.4359756,0.518776078,1,Terrestrial
Soricomys_kalinga,Soricomys_kalinga,FMNH,175720,0.705383187,0.509569378,0.46,0.750677507,2,General
Soricomys_kalinga,Soricomys_kalinga,FMNH,170967,0.73785872,0.460541814,0.4923077,0.722666667,2,General
Soricomys_kalinga,Soricomys_kalinga,FMNH,170965,0.743189557,0.455214724,0.4705882,0.683510638,2,General
Soricomys_montanus,Soricomys_montanus,FMNH,188449,0.697530864,0.44431946,0.4924623,0.702564103,2,General
Taeromys_celebensis,Taeromys_celebensis,LSUMZ,39221,0.70199778,0.428028246,0.549323017,0.565217391,1,Terrestrial
Taeromys_taerae,Taeromys_taerae,LSUMZ,39228,0.656225263,0.415699281,0.522727273,0.578616352,1,Terrestrial
Taeromys_taerae,Taeromys_taerae,LSUMZ,39226,0.673361759,0.431715576,0.484444444,0.564777328,1,Terrestrial
Taeromys_taerae,Taeromys_taerae,LSUMZ,39225,0.689670186,0.425774878,0.502118644,0.534102833,1,Terrestrial
Vandeleuria_oleracea,Vandeleuria_oleracea,AMNH,242256,0.762391817,0.483870968,0.575757576,0.773519164,3,Arboreal
