Species,phylo,climb2,climb,MANUS,SMI,BI,HRI,HEB,OLI,URI,CI,FRI,GI,FEB,TRI,TSI,PES,IM,SI,Catalog_number,Total_length,Tail_length,TAIL
Apomys_iridensis,Apomys_iridensis,0.04,0,0.556040757,0.376151236,1.042171595,0.080950073,0.238487639,0.159401145,0.035226772,1.2002772,0.070686071,0.077616078,0.175675676,0.047055427,0.338048499,0.353367125,0.682519685,0.685302594,206326,270,135,0.5
Apomys_iridensis,Apomys_iridensis,0.04,0,0.577464789,0.417489422,1.065820404,0.074753173,0.241654913,0.144360269,0.038720539,1.241117627,0.082097275,0.081407382,0.178337358,0.048638132,0.316008894,0.390081421,0.693089118,0.663107948,206330,276,132,0.4782609
Apomys_iridensis,Apomys_iridensis,0.04,0,0.603857567,0.419703104,1.089518668,0.070175439,0.231219073,0.141910331,0.042105263,1.271653543,0.072506562,0.082349081,0.173884514,0.046697626,0.045923633,0.34027326,0.691507799,0.74433657,206325,312,157,0.5032051
Apomys_iridensis,Apomys_iridensis,0.04,0,0.636764706,0.404640371,1.084918794,0.077030162,0.246867749,0.137207425,0.032687651,1.23615257,0.079933665,0.07893864,0.188059701,0.048027904,0.307217601,0.36545925,0.687184812,0.653583618,206336,300,156,0.52
Apomys_iridensis,Apomys_iridensis,0.04,0,0.646153846,0.400095374,1.054363376,0.075822604,0.236528374,0.156330749,0.044788975,1.221503913,0.070091868,0.094249745,0.167744131,0.0454039,0.325626741,0.378689705,0.676826467,0.69437799,206324,285,148,0.5192982
Apomys_microdon,Apomys_microdon,0.98,1,0.702083333,0.401273885,1.063694268,0.074309979,0.260438783,0.130597015,0.037313433,1.308436325,0.067168189,0.076303063,0.170875873,0.04312115,0.324845996,0.447976879,0.703212291,0.771457086,214487,225,130,0.5777778
Apomys_microdon,Apomys_microdon,0.98,1,0.740041929,0.414099932,1.045174538,0.073237509,0.249144422,0.133540373,0.031055901,1.274318065,0.066392177,0.068965517,0.171899125,0.042407108,0.310177706,0.415326395,0.694953609,0.696854147,189874,217,124,0.5714286
Apomys_microdon,Apomys_microdon,0.98,1,0.78012685,0.415768194,1.075471698,0.083557951,0.247978437,0.145770846,0.034793041,1.269173676,0.074715487,0.068283028,0.162790698,0.044054581,0.346978558,0.426470588,0.687091147,0.691674291,189875,223,118,0.529148
Apomys_microdon,Apomys_microdon,0.98,1,0.8,0.417561592,1.02274163,0.075805433,0.238155401,0.138728324,0.033526012,1.262773723,0.068126521,0.078345499,0.169343066,0.044701349,0.350289017,0.394785847,0.712473118,0.691629956,209548,220,134,0.6090909
Apomys_microdon,Apomys_microdon,0.98,1,0.814285714,0.404163676,1.071069634,0.07896626,0.259870782,0.151147959,0.035076531,1.329405163,0.069584736,0.066217733,0.178451178,0.041367666,0.344449135,0.44357213,0.713322091,0.717369971,209585,221,127,0.5746606
Apomys_musculus,Apomys_musculus,0.93,0.9,0.708010336,0.391169636,1.139426801,0.0697134,0.249419055,0.145406477,0.033046927,1.036585366,0.068902439,0.069512195,0.162195122,0.055294118,0.423529412,0.388308977,0.839520958,0.688557214,198853,212,120,0.5660377
Apomys_musculus,Apomys_musculus,0.93,0.9,0.714987715,0.3776,1.1328,0.0752,0.2592,0.139019476,0.0322364,1.453176162,0.069417158,0.072691552,0.183366077,0.038305543,0.296079315,0.390319258,0.731179925,0.753045404,214411,179,93,0.5195531
Apomys_musculus,Apomys_musculus,0.93,0.9,0.730046948,0.433414044,1.13236481,0.085552865,0.273607748,0.137414966,0.034013605,1.370947631,0.077930175,0.07605985,0.183291771,0.045475216,0.331969077,0.416579224,0.712332369,0.612903226,214409,207,115,0.5555556
Apomys_musculus,Apomys_musculus,0.93,0.9,0.740554156,0.39585134,1.14693172,0.076058773,0.266205704,0.130559541,0.038737446,1.457199735,0.069674851,0.061048441,0.176509622,0.039617486,0.31147541,0.413347686,0.688900891,0.694994179,214408,191,107,0.5602094
Apomys_musculus,Apomys_musculus,0.93,0.9,0.748677249,0.390070922,1.106382979,0.077226162,0.243498818,0.134062927,0.032831737,1.373382625,0.070240296,0.070856439,0.17991374,0.042171377,0.309107223,0.408026756,0.708982347,0.699897225,175718,201,113,0.5621891
Apomys_musculus,Apomys_musculus,0.93,0.9,0.772845953,0.396946565,1.134860051,0.081424936,0.279898219,0.140804598,0.033045977,1.42069435,0.076923077,0.064669843,0.189244384,0.043124102,0.311451845,0.398419865,0.723003375,0.710665259,214410,185,103,0.5567568
Apomys_musculus,Apomys_musculus,0.93,0.9,0.778061224,0.40172956,1.143867925,0.08490566,0.258647799,0.130663165,0.039395929,1.407292954,0.066749073,0.066749073,0.181087763,0.043039087,0.34914361,0.413646055,0.71758665,0.717151454,214407,208,117,0.5625
Apomys_musculus,Apomys_musculus,0.93,0.9,0.919770774,0.418416801,1.125201939,0.07996769,0.247980614,0.13105802,0.032081911,1.397649969,0.070500928,0.072356215,0.184291899,0.043362832,0.32079646,0.412197687,0.697188548,0.671763507,175719,204,113,0.5539216
Apomys_musculus,Apomys_musculus,0.93,0.9,0.928571429,0.42811245,1.128514056,0.086746988,0.257028112,0.140434193,0.044776119,1.389538462,0.077538462,0.069538462,0.176615385,0.040744021,0.32639504,0.438730853,0.70023178,0.756020942,218527,205,113,0.5512195
Apomys_sacobianus,Apomys_sacobianus,0,0,0.537190083,0.389631213,1.066274719,0.07536077,0.233030465,0.15915493,0.037558685,1.244199315,0.073411944,0.083682008,0.172689235,0.046774687,0.293182513,0.370449679,0.678135593,0.756613757,216363,254,132,0.519685
Apomys_sacobianus,Apomys_sacobianus,0,0,0.564935065,0.386329866,1.100544824,0.074294205,0.237741456,0.161929371,0.048664944,1.219487179,0.074188034,0.084444444,0.168888889,0.045416316,0.290159798,0.340306834,0.668669131,0.760216346,216365,279,137,0.4910394
Apomys_sacobianus,Apomys_sacobianus,0,0,0.568322981,0.430409914,1.066730219,0.076739752,0.238798856,0.147182506,0.034062237,1.248219736,0.065785012,0.08138352,0.16785351,0.046726433,0.319478403,0.365686945,0.675113122,0.7414791,216345,280,142,0.5071429
Apomys_sacobianus,Apomys_sacobianus,0,0,0.587301587,0.432765152,1.030776515,0.070075758,0.229640152,0.147260274,0.030821918,1.239837398,0.069444444,0.077913279,0.176829268,0.050546448,0.298360656,0.341682723,0.672716273,0.714006515,212722,275,135,0.4909091
Apomys_sacobianus,Apomys_sacobianus,0,0,0.58908046,0.413824885,1.083870968,0.073271889,0.232258065,0.147376852,0.035242291,1.218670886,0.066455696,0.087025316,0.162658228,0.04336536,0.317060504,0.359688918,0.665668236,0.744994111,216330,290,154,0.5310345
Apomys_sierrae,Apomys_sierrae,0.01,0,0.526392962,0.391100703,1.112412178,0.066510539,0.238875878,0.1508,0.0344,1.246966218,0.06264349,0.069530994,0.163988193,0.04392425,0.281956865,0.385154062,0.67654357,0.680466472,186827,283,141,0.4982332
Apomys_sierrae,Apomys_sierrae,0.01,0,0.556904401,0.41882805,1.107588857,0.073006724,0.229586936,0.145409223,0.039052763,1.22366178,0.064439141,0.071939993,0.163654961,0.046809696,0.295904152,0.376436782,0.688285802,0.637843908,186825,281,140,0.4982206
Apomys_sierrae,Apomys_sierrae,0.01,0,0.568571429,0.384827586,1.052873563,0.070804598,0.23908046,0.160632543,0.042446941,1.253324241,0.068871463,0.086259802,0.18274804,0.041893362,0.257616975,0.372589532,0.692691784,0.737318841,209570,283,142,0.5017668
Apomys_sierrae,Apomys_sierrae,0.01,0,0.577443609,0.401705353,1.043581241,0.070108953,0.244907627,0.149046794,0.040294627,1.20961605,0.071601522,0.072293324,0.177793151,0.048041178,0.309122105,0.364035088,0.691765811,0.705953097,209579,266,130,0.4887218
Apomys_sierrae,Apomys_sierrae,0.01,0,0.602739726,0.402641879,1.080234834,0.074363992,0.231898239,0.149804603,0.048632219,1.238008721,0.067587209,0.07122093,0.179505814,0.044907543,0.361608453,0.387096774,0.705796396,0.667744021,209586,273,132,0.4835165
Apomys_sierrae,Apomys_sierrae,0.01,0,0.703927492,0.423262548,1.109073359,0.065637066,0.23503861,0.129720854,0.03817734,1.277173913,0.065942029,0.076811594,0.180434783,0.046241135,0.336170213,0.393571429,0.717263325,0.668484848,186821,277,135,0.4873646
Apomys_zambalensis,Apomys_zambalensis,0.03,0,0.467692308,0.414634146,1.082439024,0.068780488,0.24097561,0.147223418,0.036160138,1.243177893,0.072884283,0.085319516,0.170984456,0.043901084,0.331480967,0.39869281,0.673390822,0.727163462,183635,265,123,0.4641509
Apomys_zambalensis,Apomys_zambalensis,0.03,0,0.590551181,0.415912339,1.118627918,0.073844688,0.234873749,0.147394137,0.033794788,1.247467927,0.068197164,0.074949359,0.168129642,0.048173207,0.314479026,0.38961039,0.684242151,0.645614035,179439,275,137,0.498181818
Apomys_zambalensis,Apomys_zambalensis,0.03,0,0.592436975,0.443008768,1.093677896,0.070143055,0.235809875,0.142683913,0.040824576,1.239735099,0.071192053,0.073178808,0.178807947,0.045138889,0.311698718,0.392857143,0.686132466,0.623868778,179441,282,142,0.5035461
Apomys_zambalensis,Apomys_zambalensis,0.03,0,0.611195159,0.394337715,1.059150657,0.069767442,0.248736097,0.14841629,0.035746606,1.297190202,0.074567723,0.09185879,0.188760807,0.044432102,0.298250486,0.384401114,0.656735142,0.670707071,183605,275,137,0.4981818
Apomys_zambalensis,Apomys_zambalensis,0.03,0,0.633387889,0.405113078,1.069813176,0.074237955,0.237463127,0.169454225,0.036091549,1.250085179,0.071550256,0.079045997,0.17649063,0.048242028,0.314254565,0.375166889,0.652029073,0.687652812,183627,280,137,0.4892857
Apomys_zambalensis,Apomys_zambalensis,0.03,0,0.658496732,0.398316971,1.056100982,0.072463768,0.240766713,0.149895616,0.03256785,1.209287116,0.068999346,0.085349902,0.161543492,0.046241211,0.347214711,0.415935673,0.671107164,0.704035874,183601,284,134,0.471831
Archboldomys_maximus,Archboldomys_maximus,0,0,0.658314351,0.447916667,1.05078125,0.089192708,0.327473958,0.181235431,0.042540793,1.384922616,0.07988018,0.055416875,0.205691463,0.047224225,0.293078587,0.430865299,0.680761985,0.731587561,193944,210,100,0.4761905
Archboldomys_maximus,Archboldomys_maximus,0,0,0.675555556,0.441157556,1.061736334,0.086173633,0.326688103,0.181557847,0.040091638,1.298417132,0.077281192,0.073556797,0.176443203,0.048404446,0.276801721,0.409780776,0.668624671,0.696637998,193943,213,108,0.5070423
